FunctionName | N
ABS | 39
ACON | 532
ADD | 1250
ADD8 | 84
ALM | 4909
ALML | 3540
AND2 | 6864
AND8 | 2101
APSM | 112
ASEL | 1112
ASELV | 457
B2OF3 | 377
BALAN2 | 3
BTOL | 1511
BTOL32 | 1
BXOF8 | 660
CMP | 867
COMIN32 | 374
CONVERT | 284
CONVERT8 | 845
COUNT | 169
DATE | 5
DCON | 1208
DDPU | 46
DELAY | 68
DELAY2 | 18
DEV | 294
DEVICE | 1367
DIV | 483
DIVERGE | 2102
DIVERGE8 | 2281
DMODULE | 250
DMS | 1738
DSEL | 154
EDEVICEM | 164
ETIMER | 77
FILTER | 1
FIRST | 77
FIRST32 | 9
FX | 992
HAI | 13350
HAO | 9654
HDI | 24967
HDO | 25575
HNI | 2848
HNO | 4243
LDLG | 361
LMT | 239
LTOB | 2861
MA | 574
MAX | 3626
MIN | 3560
MUL | 6951
NAI | 3081
NDI | 3208
NOT | 7542
OR | 5520
OR8 | 4669
PAI | 1349
PAO | 755
PDI | 4120
PDO | 2230
PID | 256
PMT | 61
POW | 88
PTC | 45
RALM | 2
RAND | 2
REDCOMIN32 | 2388
REDHNI | 2310
RLMT | 161
RLMTS | 53
RMP | 6
RS | 1050
SAIP | 3
SEL2V | 177
SEL3V | 153
SQRT | 109
SR | 15
STAAVG | 4
STAT | 166
STEP | 83
STEP16 | 38
STEP32 | 6
STEP40 | 1
SUB | 1909
TIMER | 13506
TPRO | 524
TQA | 4563
TSTAT | 3
VSET | 450
VSETR | 47
XOR | 4
